molecule_chembl_id,class_label,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL185698,inactive,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,421.19000000000005,2.6605000000000008,0.0,4.0,4.8696662315049934
CHEMBL426082,inactive,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,293.34700000000004,3.6308000000000016,0.0,3.0,4.8823973083099155
CHEMBL365134,active,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,372.24300000000005,4.393300000000003,0.0,3.0,6.008773924307505
CHEMBL190743,active,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,419.24300000000005,4.235400000000002,0.0,3.0,6.022276394711152
CHEMBL365469,inactive,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,327.7920000000001,4.284200000000002,0.0,3.0,4.950781977329818
CHEMBL188983,inactive,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,445.28100000000006,4.748600000000002,0.0,3.0,4.628932137728263
CHEMBL191575,inactive,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,522.7510000000001,4.987900000000002,1.0,4.0,4.900664722314042
CHEMBL370923,inactive,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,480.327,3.708300000000003,0.0,4.0,4.756961951313706
CHEMBL194398,inactive,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,580.6820000000004,2.6858200000000014,3.0,8.0,4.346787486224656
CHEMBL196635,inactive,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,558.6760000000003,2.7994200000000014,3.0,8.0,4.154901959985743
CHEMBL209287,inactive,CCCCN1C(=O)C(=O)c2cc(I)ccc21,329.137,2.6206000000000014,0.0,2.0,4.180456064458132
CHEMBL358279,active,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,330.34299999999996,2.6682000000000006,1.0,3.0,6.431798275933005
CHEMBL348660,inactive,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,280.28299999999996,1.5150000000000001,1.0,3.0,4.903089986991944
CHEMBL379727,inactive,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,246.26599999999996,1.1148999999999998,1.0,3.0,4.721246399047171
CHEMBL210525,inactive,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,232.23899999999998,0.7248,1.0,3.0,4.6020599913279625
CHEMBL148483,inactive,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,204.18499999999997,-0.05540000000000028,1.0,3.0,4.1487416512809245
CHEMBL118596,inactive,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,363.15400000000005,3.0207000000000015,0.0,2.0,4.301029995663981
CHEMBL210146,inactive,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,437.4370000000002,3.3684800000000017,2.0,9.0,3.5200000029339815
CHEMBL207458,inactive,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,377.3820000000001,1.8744999999999998,2.0,9.0,3.6000000054478725
CHEMBL207484,inactive,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,403.38200000000006,3.223200000000001,2.0,7.0,3.690000009501577
CHEMBL207207,inactive,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,401.8750000000001,4.667120000000002,2.0,6.0,4.0
CHEMBL210487,inactive,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,462.53100000000023,4.441480000000004,2.0,8.0,4.219999989963101
CHEMBL380470,inactive,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,397.45600000000013,3.5972000000000017,2.0,7.0,4.339999990132752
CHEMBL210612,inactive,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,369.51500000000004,5.059300000000004,1.0,5.0,4.389999976337708
CHEMBL209667,inactive,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,457.3420000000001,5.8362000000000025,1.0,6.0,4.820000071285178
CHEMBL210097,inactive,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,525.3390000000002,6.855000000000004,1.0,6.0,4.820000071285178
CHEMBL378674,inactive,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,519.1420000000002,7.051540000000005,1.0,8.0,4.920000156997057
CHEMBL210216,inactive,Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C,334.3570000000001,2.43804,2.0,7.0,3.0
CHEMBL210195,inactive,Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1,379.766,4.327120000000001,1.0,4.0,3.3000000031431456
CHEMBL210437,inactive,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1,393.51200000000006,5.006400000000004,1.0,5.0,3.389999997659038
CHEMBL378677,inactive,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1,424.5700000000003,5.129880000000004,2.0,6.0,3.44999999906189
CHEMBL210972,inactive,CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1,410.8860000000001,4.493580000000002,2.0,6.0,3.5200000029339815
CHEMBL210145,inactive,CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1,357.43500000000006,2.9163400000000017,0.0,6.0,3.5200000029339815
CHEMBL377225,inactive,N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,430.41100000000006,4.470480000000003,2.0,6.0,3.690000009501577
CHEMBL210823,inactive,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1,438.5970000000003,5.483400000000005,2.0,6.0,3.690000009501577
CHEMBL207381,inactive,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1,511.07200000000023,6.686700000000005,1.0,7.0,3.690000009501577
CHEMBL210511,inactive,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,401.87500000000006,4.667120000000002,2.0,6.0,3.690000009501577
CHEMBL210632,inactive,COc1cccc(-c2nc(SCC(=O)Nc3ccc(C(C)=O)cc3)nc(O)c2C#N)c1,434.4770000000002,3.662880000000002,2.0,8.0,4.219999989963101
CHEMBL210497,inactive,COc1cccc(-c2nc(SCC(=O)Nc3ccc(S(N)(=O)=O)cc3)nc(O)c2C#N)c1,471.5200000000002,2.10768,3.0,9.0,4.389999976337708
CHEMBL208584,inactive,CCCc1cc(O)nc(SCC(=O)Nc2ccc(Cl)cc2)n1,337.83200000000005,3.518900000000002,2.0,5.0,4.519999959791458
CHEMBL208763,inactive,O=C(CSc1nccc(-c2cc(-c3ccccc3)no2)n1)Nc1ccc(Cl)cc1,422.89700000000005,5.182800000000002,1.0,6.0,4.820000071285178
CHEMBL209227,inactive,Cc1nc(-c2nc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)cs2)cs1,460.00900000000007,5.416220000000003,1.0,8.0,4.849999859991125
CHEMBL210092,inactive,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccc(Cl)cc2)n1,519.1420000000002,7.051540000000005,1.0,8.0,4.950000175844591
CHEMBL377150,inactive,Cn1nc(-c2ccc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)s2)cc1C(F)(F)F,509.966,6.008600000000003,1.0,7.0,5.0
CHEMBL212454,active,O=C(Oc1ccc(S(=O)(=O)c2ccc(OC(=O)C(Cl)=C(Cl)Cl)cc2)cc1)C(Cl)=C(Cl)Cl,565.041,6.101200000000001,0.0,6.0,6.045757490560675
CHEMBL380403,inactive,O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)c1ccc(Cl)cc1,365.716,4.099800000000001,0.0,4.0,4.920818753952375
CHEMBL212504,inactive,Cc1nc(S(=O)(=O)c2ccccc2)c(C#N)c(C)c1[N+](=O)[O-],317.3260000000001,2.3111200000000007,0.0,6.0,4.886056647693163
CHEMBL211969,inactive,Cc1ccc(S(=O)(=O)c2nc(C)c([N+](=O)[O-])c(C)c2C#N)cc1,331.35300000000007,2.6195400000000006,0.0,6.0,4.886056647693163
CHEMBL384739,inactive,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc(Cl)cc2)[n+]([O-])c1,314.706,1.7143999999999997,0.0,5.0,4.823908740944319
CHEMBL215732,inactive,CCOC(=O)/C(C#N)=C/Nc1ccc(S(=O)(=O)c2ccc(/N=C/C(C#N)=C(\O)OCC)cc2)cc1,494.5290000000002,3.933860000000003,2.0,10.0,4.795880017344075
CHEMBL212240,inactive,O=C(O)c1ccc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1,436.07700000000006,3.448200000000001,2.0,4.0,4.795880017344075
CHEMBL377253,inactive,CC(=O)c1ccccc1S(=O)(=O)c1ccccc1C(=O)O,304.32300000000004,2.4202000000000004,1.0,4.0,4.795880017344075
CHEMBL215397,inactive,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,308.271,2.3358,0.0,6.0,4.6020599913279625
